Rank,Name,Symbol,Market Cap,Price,Circulating Supply,volume (24h),% 1h,% 24h,% 7d
1,Bitcoin,BTC,"$649,461,677,014.11","$34,649.64","18,743,675 BTC","$35,511,640,893.97",0.47%,7.65%,-2.94%
2,Ethereum,ETH,"$230,473,556,118.34","$1,978.89","116,465,803 ETH","$19,885,474,742.15",1.22%,8.18%,-11.91%
3,Tether,USDT,"$62,565,275,501.32",$1.0006,"62,525,151,502 USDT *","$53,158,745,469.26",-0.01%,-0.06%,-0.02%
4,Binance Coin,BNB,"$44,582,539,627.56",$290.57,"153,432,897 BNB *","$1,521,388,055.74",1.13%,3.98%,-14.56%
5,Cardano,ADA,"$42,654,792,252.72",$1.3352,"31,946,328,269 ADA","$2,371,576,550.82",-0.42%,6.78%,-6.58%
6,Dogecoin,DOGE,"$34,431,598,885.98",$0.2644,"130,200,947,235 DOGE","$2,167,521,670.48",4.16%,8.03%,-5.86%
7,XRP,XRP,"$29,916,626,946.07",$0.6469,"46,244,517,593 XRP *","$2,329,301,222.10",0.88%,5.12%,-16.67%
8,USD Coin,USDC,"$25,791,977,537.20",$1.0006,"25,776,737,766 USDC *","$2,006,379,614.62",<0.01%,-0.08%,-0.04%
9,Polkadot,DOT,"$14,348,288,115.63",$15.02,"955,559,127 DOT *","$982,313,260.63",0.82%,3.56%,-27.36%
10,Binance USD,BUSD,"$9,951,227,530.45",$1.0005,"9,946,112,282 BUSD *","$3,436,768,802.55",-0.02%,-0.09%,-0.05%
11,Uniswap,UNI,"$9,833,906,939.68",$17.10,"575,228,023 UNI *","$255,240,542.43",1.23%,6.18%,-17.84%
12,Bitcoin Cash,BCH,"$8,953,538,053.98",$476.89,"18,774,956 BCH","$1,445,433,764.92",0.77%,3.95%,-14.46%
13,Litecoin,LTC,"$8,834,541,326.01",$132.35,"66,752,415 LTC","$1,804,264,433.38",0.87%,4.49%,-14.67%
14,Solana,SOL,"$8,705,146,914.45",$31.93,"272,637,428 SOL *","$497,353,287.91",1.68%,7.46%,-9.60%
15,Chainlink,LINK,"$7,989,048,357.73",$18.34,"435,509,554 LINK *","$805,522,371.36",1.60%,8.19%,-15.60%
16,Polygon,MATIC,"$7,009,612,653.35",$1.1120,"6,303,422,325 MATIC *","$704,097,941.80",1.85%,3.40%,-20.51%
17,THETA,THETA,"$6,892,736,519.99",$6.8927,"1,000,000,000 THETA *","$227,785,045.64",1.43%,4.79%,-20.91%
18,Wrapped Bitcoin,WBTC,"$6,607,675,012.07","$34,590.69","191,025 WBTC *","$311,107,164.31",0.54%,7.91%,-3.03%
19,Stellar,XLM,"$5,999,612,086.91",$0.2586,"23,196,088,878 XLM *","$430,864,933.92",0.66%,3.75%,-13.10%
20,Internet Computer,ICP,"$5,785,532,106.54",$42.90,"134,866,041 ICP *","$522,404,039.52",7.17%,41.59%,-9.14%
21,Dai,DAI,"$5,158,236,753.01",$1.0025,"5,145,366,207 DAI *","$295,963,345.90",0.00%,-0.05%,0.05%
22,VeChain,VET,"$5,005,889,050.94",$0.07783,"64,315,576,989 VET *","$529,222,332.05",1.01%,5.40%,-21.16%
23,Ethereum Classic,ETC,"$4,923,668,234.62",$42.33,"116,313,299 ETC","$1,782,621,295.26",1.25%,4.48%,-17.18%
24,TRON,TRX,"$4,642,076,651.35",$0.06478,"71,659,657,369 TRX *","$839,958,642.28",1.10%,3.32%,-4.50%
25,Filecoin,FIL,"$4,626,345,499.42",$56.13,"82,425,428 FIL","$515,856,077.60",1.02%,5.95%,-11.35%
26,Monero,XMR,"$3,789,115,209.41",$211.20,"17,940,965 XMR","$152,877,053.99",0.75%,4.15%,-20.18%
27,EOS,EOS,"$3,595,820,064.09",$3.7664,"954,704,355 EOS *","$727,602,241.16",1.39%,5.69%,-16.62%
28,SHIBA INU,SHIB,"$3,101,198,479.53",$0.00000786,"394,796,000,000,000 SHIB *","$368,723,896.78",2.76%,5.03%,0.74%
29,Crypto.com Coin,CRO,"$2,684,628,510.02",$0.1063,"25,263,013,692 CRO *","$65,942,796.95",1.01%,11.43%,-1.78%
30,Amp,AMP,"$2,610,273,309.73",$0.06181,"42,227,702,186 AMP","$43,787,489.33",2.44%,10.70%,-31.97%
31,Aave,AAVE,"$2,599,445,021.93",$202.68,"12,825,593 AAVE *","$250,757,136.21",1.66%,8.40%,-25.90%
32,Algorand,ALGO,"$2,583,661,870.04",$0.835,"3,094,374,868 ALGO *","$107,192,863.61",1.79%,3.12%,-10.80%
33,Bitcoin BEP2,BTCB,"$2,530,073,723.80","$34,613.21","73,096 BTCB *","$1,427,630.66",1.18%,8.15%,-2.95%
34,Klaytn,KLAY,"$2,481,688,394.39",$1.0004,"2,480,762,912 KLAY *","$112,809,147.68",0.67%,6.15%,0.33%
35,Bitcoin SV,BSV,"$2,457,894,662.29",$130.93,"18,772,027 BSV","$574,535,254.62",0.41%,4.98%,-14.56%
36,PancakeSwap,CAKE,"$2,442,781,268.58",$13.01,"187,705,470 CAKE *","$190,050,436.36",2.10%,6.39%,-18.84%
37,FTX Token,FTT,"$2,315,950,669.85",$24.55,"94,346,958 FTT *","$24,677,197.50",0.89%,7.73%,-18.05%
38,Terra,LUNA,"$2,256,134,474.97",$5.4009,"417,736,858 LUNA *","$61,395,305.23",0.03%,3.82%,-8.33%
39,Theta Fuel,TFUEL,"$2,281,092,671.07",$0.4303,"5,301,214,400 TFUEL *","$96,384,606.68",1.91%,1.51%,-27.05%
40,Neo,NEO,"$2,253,607,095.38",$31.95,"70,538,831 NEO *","$455,043,701.45",1.97%,2.68%,-28.69%
41,Tezos,XTZ,"$2,229,717,071.97",$2.6211,"850,673,249 XTZ *","$65,038,989.77",0.30%,3.09%,-14.97%
42,IOTA,MIOTA,"$2,214,027,523.61",$0.7965,"2,779,530,283 MIOTA *","$29,808,743.98",1.22%,1.42%,-17.28%
43,Cosmos,ATOM,"$2,118,144,322.25",$10.05,"210,767,263 ATOM *","$176,367,569.87",0.63%,5.30%,-16.35%
44,Maker,MKR,"$2,111,624,291.78","$2,130.05","991,351 MKR *","$83,702,988.57",1.09%,6.20%,-21.34%
45,UNUS SED LEO,LEO,"$1,986,534,288.83",$2.0824,"953,954,130 LEO *","$5,080,957.31",-0.80%,-3.34%,-19.17%
46,TerraUSD,UST,"$1,908,625,499.16",$1.0010,"1,906,664,690 UST *","$21,851,847.34",-0.01%,-0.06%,-0.11%
